[2022-10-28 01:27:56,927] Register - Step 01: Navigate to 'Register page'
[2022-10-28 01:27:57,997] Register - Step 02: Enter to Firstname textbox with value is 'Nau'
[2022-10-28 01:27:58,110] Register - Step 03: Enter to Lastname textbox with value is 'Nem'
[2022-10-28 01:27:58,545] Register - Step 04: Enter to Email textbox with value is 'naunem85841@fakemail.com'
[2022-10-28 01:27:58,764] Register - Step 05: Enter to Password textbox with value is '123123'
[2022-10-28 01:27:58,890] Register - Step 06: Enter to Confirm Password textbox with value is '123123'
[2022-10-28 01:27:59,015] Register - Step 07: Click to 'Register' Button
[2022-10-28 01:27:59,748] Register - Step 08: Verify register success massage is displayed
[2022-10-28 01:27:59,852] Login - Step 01: Navigate to Login page
[2022-10-28 01:28:00,883] Login - Step 02: Enter to Email textbox with value is 'naunem85841@fakemail.com'
[2022-10-28 01:28:00,995] Login - Step 03: Enter to Password textbox with value is '123123'
[2022-10-28 01:28:01,119] Login - Step 04: Click to Login button
[2022-10-28 01:28:01,735] Login - Step 05: Verify 'My Account' link is displayed
[2022-10-28 01:28:01,771] Login - Step 06: Navigate to My Account page
[2022-10-28 01:28:02,210] Login - Step 07: Verify 'Customer Infor' page is displayed
[2022-10-28 01:28:02,243] Account - Step 01: Navigata to My Account page
[2022-10-28 01:28:02,590] Account - Step 02: Verify 'Customer Infor' page is displayed
[2022-10-28 01:28:02,629] Account - Step 03: Verify 'First name' textbox is 'Nau'
[2023-04-07 16:09:55,051] Cannot invoke "Object.toString()" because "this.driver" is null
